file_name,relative_path,suffix,size_bytes,top_level_group,subgroup,role_guess
34ed21e64b190dc037d35ef7f646feb8.csv,Raw Sensing\unlock\34ed21e64b190dc037d35ef7f646feb8.csv,.csv,8640859,Raw Sensing,unlock,sensor
3528757eaf1d15ee6c778eb79cd02de7.csv,Raw Sensing\unlock\3528757eaf1d15ee6c778eb79cd02de7.csv,.csv,3890887,Raw Sensing,unlock,sensor
3569e2f520db9014b4acc4227a6421c1.csv,Raw Sensing\unlock\3569e2f520db9014b4acc4227a6421c1.csv,.csv,5448723,Raw Sensing,unlock,sensor
35cf1abf179310dc33907d953f590366.csv,Raw Sensing\unlock\35cf1abf179310dc33907d953f590366.csv,.csv,5124695,Raw Sensing,unlock,sensor
374d8bd8b755b55ed5a9b08304db6cee.csv,Raw Sensing\unlock\374d8bd8b755b55ed5a9b08304db6cee.csv,.csv,8143194,Raw Sensing,unlock,sensor
3bb377ba0acb7d8916010184df36aa57.csv,Raw Sensing\unlock\3bb377ba0acb7d8916010184df36aa57.csv,.csv,13210763,Raw Sensing,unlock,sensor
3d1a8b919f65dd22f661468f79b9b107.csv,Raw Sensing\unlock\3d1a8b919f65dd22f661468f79b9b107.csv,.csv,8551710,Raw Sensing,unlock,sensor
3dad5f11680b432159b65838119ab87e.csv,Raw Sensing\unlock\3dad5f11680b432159b65838119ab87e.csv,.csv,9406974,Raw Sensing,unlock,sensor
3e7ca3545ad22d036db36c4f1e9f2e18.csv,Raw Sensing\unlock\3e7ca3545ad22d036db36c4f1e9f2e18.csv,.csv,8758918,Raw Sensing,unlock,sensor
4005a296ac7cd078b8bd56f0b905b7a6.csv,Raw Sensing\unlock\4005a296ac7cd078b8bd56f0b905b7a6.csv,.csv,6210413,Raw Sensing,unlock,sensor
422875809be551a4ec179466aa8300ba.csv,Raw Sensing\unlock\422875809be551a4ec179466aa8300ba.csv,.csv,15101005,Raw Sensing,unlock,sensor
