file_name,relative_path,column_name,dtype,null_count,null_pct,n_unique,sample_value_1
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_0,float64,58598,0.2712054242936153,156901,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_1,float64,58086,0.2688357670145558,157379,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_10,float64,62094,0.2873857404021938,153492,349.877119485
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_11,float64,62733,0.29034318376414503,152859,349.877119485
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_12,float64,63475,0.2937773355240321,152123,341.654625847
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_13,float64,64102,0.29667924004350543,151467,574.667504529
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_14,float64,64488,0.2984657394765464,151139,333.953044107
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_15,float64,64827,0.3000347117765487,150792,333.953044107
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_16,float64,64358,0.2978640686830352,151243,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_17,float64,63040,0.2917640524842061,152562,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_18,float64,61720,0.28565477981163073,153861,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_19,float64,60966,0.28216508920926575,154627,385.917844141
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_2,float64,58677,0.27157105500659523,156805,339.741070621
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_20,float64,59737,0.2764769860921482,155852,385.917844141
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_21,float64,58249,0.2695901696248814,157327,349.877119485
sensing.csv,Sensing\sensing.csv,loc_max_dis_from_campus_hr_22,float64,57263,0.26502672806794253,158299,349.877119485
